code,national examination board,province
1,Sở GD&ĐT Hà Nội,Hà Nội
2,Sở GD&ĐT TP. Hồ Chí Minh,TP. Hồ Chí Minh
3,Sở GD&ĐT Hải Phòng,Hải Phòng
4,Sở GD&ĐT Đà Nẵng,Đà Nẵng
5,Sở GD&ĐT Hà Giang,Hà Giang
6,Sở GD&ĐT Cao Bằng,Cao Bằng
7,Sở GD&ĐT Lai Châu,Lai Châu
8,Sở GD&ĐT Lào Cai,Lào Cai
9,Sở GD&ĐT Tuyên Quang,Tuyên Quang
10,Sở GD&ĐT Lạng Sơn,Lạng Sơn
11,Sở GD&ĐT Bắc Kạn,Bắc Kạn
12,Sở GD&ĐT Thái Nguyên,Thái Nguyên
13,Sở GD&ĐT Yên Bái,Yên Bái
14,Sở GD&ĐT Sơn La,Sơn La
15,Sở GD&ĐT Phú Thọ,Phú Thọ
16,Sở GD&ĐT Vĩnh Phúc,Vĩnh Phúc
17,Sở GD&ĐT Quảng Ninh,Quảng Ninh
18,Sở GD&ĐT Bắc Giang,Bắc Giang
19,Sở GD&ĐT Bắc Ninh,Bắc Ninh
20,Sở GD&ĐT Hải Dương,Hải Dương
21,Sở GD&ĐT Hưng Yên,Hưng Yên
22,Sở GD&ĐT Hoà Bình,Hoà Bình
23,Sở GD&ĐT Hà Nam,Hà Nam
24,Sở GD&ĐT Nam Định,Nam Định
25,Sở GD&ĐT Thái Bình,Thái Bình
26,Sở GD&ĐT Ninh Bình,Ninh Bình
27,Sở GD&ĐT Thanh Hoá,Thanh Hoá
28,Sở GD&ĐT Nghệ An,Nghệ An
29,Sở GD&ĐT Hà Tĩnh,Hà Tĩnh
30,Sở GD&ĐT Quảng Bình,Quảng Bình
31,Sở GD&ĐT Quảng Trị,Quảng Trị
32,Sở GD&ĐT Thừa Thiên Huế,Thừa Thiên Huế
33,Sở GD&ĐT Quảng Nam,Quảng Nam
34,Sở GD&ĐT Quảng Ngãi,Quảng Ngãi
35,Sở GD&ĐT Kon Tum,Kon Tum
36,Sở GD&ĐT Bình Định,Bình Định
37,Sở GD&ĐT Gia Lai,Gia Lai
38,Sở GD&ĐT Phú Yên,Phú Yên
39,Sở GD&ĐT Đắk Lắk,Đắk Lắk
40,Sở GD&ĐT Khánh Hoà,Khánh Hoà
41,Sở GD&ĐT Lâm Đồng,Lâm Đồng
42,Sở GD&ĐT Bình Phước,Bình Phước
43,Sở GD&ĐT Bình Dương,Bình Dương
44,Sở GD&ĐT Ninh Thuận,Ninh Thuận
45,Sở GD&ĐT Tây Ninh,Tây Ninh
46,Sở GD&ĐT Bình Thuận,Bình Thuận
47,Sở GD&ĐT Đồng Nai,Đồng Nai
48,Sở GD&ĐT Long An,Long An
49,Sở GD&ĐT Đồng Tháp,Đồng Tháp
50,Sở GD&ĐT An Giang,An Giang
51,Sở GD&ĐT Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu
52,Sở GD&ĐT Tiền Giang,Tiền Giang
53,Sở GD&ĐT Kiên Giang,Kiên Giang
54,Sở GD&ĐT Cần Thơ,Cần Thơ
55,Sở GD&ĐT Bến Tre,Bến Tre
56,Sở GD&ĐT Vĩnh Long,Vĩnh Long
57,Sở GD&ĐT Trà Vinh,Trà Vinh
58,Sở GD&ĐT Sóc Trăng,Sóc Trăng
59,Sở GD&ĐT Bạc Liêu,Bạc Liêu
60,Sở GD&ĐT Cà Mau,Cà Mau
61,Sở GD&ĐT Điện Biên,Điện Biên
62,Sở GD&ĐT Đắk Nông,Đắk Nông
63,Sở GD&ĐT Hậu Giang,Hậu Giang
64,Cục Nhà trường - Bộ Quốc phòng,Bộ Quốc phòng
